1086343.txt;2.33;1.43;5.0;4.4;4.7;4.59;2.63;0.21;low
1109085.txt;3.13;0.04;4.47;4.73;4.88;2.5;3.97;52.13;high
1469088.txt;2.6;0.3;4.2;4.33;4.58;0;3.33;6.68;low
1691426.txt;2.6;0.83;4.76;3.98;4.42;2.0;3.11;1.02;low
1804641.txt;2.07;1.29;5.0;4.27;4.62;0;3.19;0.05;low
1813924.txt;3.4;0.97;4.5;4.25;4.56;3.33;2.1;6.88;low
186616.txt;3.53;0.08;4.5;4.7;4.84;0;3.36;51.91;high
1985615.txt;3.67;0.07;4.39;4.71;4.75;2.67;4.36;54.29;high
206667.txt;2.73;0.6;3.8;4.31;4.62;3.0;3.23;4.83;low
219983.txt;2.73;0.15;4.64;4.78;4.85;4.82;3.37;47.32;high
232159.txt;3.27;0.17;4.79;4.14;4.71;3.67;2.57;45.79;high
302140.txt;3.8;0.02;4.5;4.7;4.86;0;3.67;54.05;high
339615.txt;2.6;0.93;4.3;4.08;4.33;4.67;3.37;1.15;low
392518.txt;1.93;1.07;5.0;5.0;4.0;0;3.72;0.13;low
395987.txt;5;0.08;4.52;4.7;4.89;4.43;3.21;54.99;high
711394.txt;3.8;0.12;4.85;4.69;4.81;2.0;3.77;54.37;high
746257.txt;2.2;0.97;4.43;4.56;4.78;4.6;3.0;1.0;low
755753.txt;4.07;0.23;4.33;4.61;4.74;3.57;4.01;54.51;high
806909.txt;3.93;0.15;5.0;4.18;4.77;1.0;3.37;53.48;high
990384.txt;4.33;0.26;3.79;4.55;4.68;0;3.68;53.47;high
